landscape_rank,serious_skim,deep_read,hostile_prior,title,year,venue,doi,url,cited_by_count,primary_theme,score,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,annotation_basis,source_query,abstract_excerpt
15,yes,yes,yes,SE3-Nets: Learning Rigid Body Motion using Deep Neural Networks,2017,ICRA,,https://arxiv.org/abs/1606.02378,0,object_centric,139.15,"Represent objects, parts, relations, or affordances for physical tasks.",Geometric equivariance or rigid-motion factorization.,simulated flow distributions cover real contact events,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","wrong segmentation, part ambiguity, indirect effects across objects","Covers part of embodied prediction/control, so novelty must be in causal field decomposition and planning use.",Leaves open action-conditioned 3D causal attribution for manipulation planning.,manual anchor+heuristic,manual_anchor,A neural model decomposes point-cloud motion into rigid object parts with SE(3) transforms.
16,yes,yes,yes,Toward a New Generation of Electrically Controllable Hygromorphic Soft Actuators,2015,Advanced Materials,https://doi.org/10.1002/adma.201404772,https://openalex.org/W2115412172,303,robot_manipulation,97.717,Convert perception and action experience into manipulation behavior.,Task-specific learned representation or dynamics model.,one-step motion is an adequate proxy for task-level progress,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","out-of-distribution contacts, clutter, causal confusion, long-horizon credit assignment","Uses dense motion as a representation for manipulation, so novelty cannot be mere flow prediction.",Usually treats the transition model as a black box rather than auditing which motion the action actually caused.,metadata+abstract heuristic,openalex:optical flow robot manipulation,"An innovative processing strategy for fabricating soft structures that possess electric- and humidity-driven active/passive actuation capabilities along with touch- and humidity-sensing properties is reported. The intrinsically multifunctional material comprises an active thin layer of poly(3,4-ethylenedioxythiophene):poly­(styrene sulfonate) in a double-layered structure with a silicone elastomer and provides an opportunity toward developing a new class of smart structures for soft robotics. Th"
17,yes,yes,yes,"The promise of artificial intelligence in chemical engineering: Is it here, finally?",2018,AIChE Journal,https://doi.org/10.1002/aic.16489,https://openalex.org/W2903010511,630,robot_manipulation,86.7473,Convert perception and action experience into manipulation behavior.,Relational/graph representation with learned message passing.,predicted motion magnitude is a reliable affordance signal,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","out-of-distribution contacts, clutter, causal confusion, long-horizon credit assignment","Uses dense motion as a representation for manipulation, so novelty cannot be mere flow prediction.",Usually treats the transition model as a black box rather than auditing which motion the action actually caused.,metadata+abstract heuristic,openalex:causal representation robot learning,"The current excitement about artificial intelligence (AI), particularly machine learning (ML), is palpable and contagious. The expectation that AI is poised to ""revolutionize,"" perhaps even take over, humanity has elicited prophetic visions and concerns from some luminaries.1-4 There is also a great deal of interest in the commercial potential of AI, which is attracting significant sums of venture capital and state-sponsored investment globally, particularly in China.5 McKinsey, for instance, pr"
18,yes,yes,yes,A Least Squares Estimate of Satellite Attitude,1965,SIAM Review,https://doi.org/10.1137/1007077,https://openalex.org/W2063005413,1111,interaction_dynamics,81.0139,Predict physical change during object-object or robot-object interaction.,Relational/graph representation with learned message passing.,flow can be evaluated without counterfactual actions,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","multi-body chains, deformation, friction shifts, hidden contacts","Covers part of embodied prediction/control, so novelty must be in causal field decomposition and planning use.",Often predicts interaction outcomes without isolating the agent's incremental causal contribution.,metadata+abstract heuristic,openalex:visual dynamics model robotics,"Previous article Next article A Least Squares Estimate of Satellite AttitudeGrace WahbaGrace Wahbahttps://doi.org/10.1137/1007077PDFBibTexSections ToolsAdd to favoritesExport CitationTrack CitationsEmail SectionsAbout""A Least Squares Estimate of Satellite Attitude."" SIAM Review, 7(3), p. 409 Previous article Next article FiguresRelatedReferencesCited byDetails Multi-view clustering with orthogonal mapping and binary graphExpert Systems with Applications, Vol. 213 Cross Ref Rotational State Deter"
19,yes,yes,yes,Design Thinking for Social Innovation,2010,Development Outreach,https://doi.org/10.1596/1020-797x_12_1_29,https://openalex.org/W2010961314,1418,planning_control,80.2577,"Select actions by rolling out a model, value estimate, or policy.",Relational/graph representation with learned message passing.,manipulation policies can tolerate mixed passive and caused motion,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","model bias, compounding rollout error, uncontrolled exogenous motion","Uses dense motion as a representation for manipulation, so novelty cannot be mere flow prediction.",Usually treats the transition model as a black box rather than auditing which motion the action actually caused.,metadata+abstract heuristic,openalex:physical interaction perception robotics,"No AccessEducationJul 2010Design Thinking for Social InnovationAuthors/Editors: Tim Brown, Jocelyn WyattTim BrownSearch for more papers by this author, Jocelyn WyattSearch for more papers by this authorhttps://doi.org/10.1596/1020-797X_12_1_29SectionsAboutView ChaptersPDF (0.2 MB) ToolsAdd to favoritesDownload CitationsTrack Citations ShareFacebookTwitterLinked In Designers have traditionally focused on enchancing the look and functionality of products. Previous articleNext article Figuresrefere"
20,yes,yes,yes,FCL: A general purpose library for collision and proximity queries,2012,,https://doi.org/10.1109/icra.2012.6225337,https://openalex.org/W2004139909,537,robot_manipulation,78.2879,Convert perception and action experience into manipulation behavior.,Task-specific learned representation or dynamics model.,the robot's own action field is spatially localized and unambiguous,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","out-of-distribution contacts, clutter, causal confusion, long-horizon credit assignment","Covers part of embodied prediction/control, so novelty must be in causal field decomposition and planning use.",Usually treats the transition model as a black box rather than auditing which motion the action actually caused.,metadata+abstract heuristic,openalex:deformable manipulation point cloud,"We present a new collision and proximity library that integrates several techniques for fast and accurate collision checking and proximity computation. Our library is based on hierarchical representations and designed to perform multiple proximity queries on different model representations. The set of queries includes discrete collision detection, continuous collision detection, separation distance computation and penetration depth estimation. The input models may correspond to triangulated rigi"
21,yes,yes,yes,HeteroGenManip: Generalizable Manipulation For Heterogeneous Object Interactions,2026,arXiv (Cornell University),,https://openalex.org/W7161204293,0,robot_manipulation,76.5,Convert perception and action experience into manipulation behavior.,"Attention-based representation over visual, object, or trajectory tokens.",environmental dynamics are stationary during manipulation,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","out-of-distribution contacts, clutter, causal confusion, long-horizon credit assignment","Covers part of embodied prediction/control, so novelty must be in causal field decomposition and planning use.",Usually treats the transition model as a black box rather than auditing which motion the action actually caused.,metadata+abstract heuristic,openalex:SE(3) equivariant robot manipulation dynamics,"Generalizable manipulation involving cross-type object interactions is a critical yet challenging capability in robotics. To reliably accomplish such tasks, robots must address two fundamental challenges: ""where to manipulate"" (contact point localization) and ""how to manipulate"" (subsequent interaction trajectory planning). Existing foundation-model-based approaches often adopt end-to-end learning that obscures the distinction between these stages, exacerbating error accumulation in long-horizon"
22,yes,yes,yes,DA-MMP: Learning Coordinated and Accurate Throwing with Dynamics-Aware Motion Manifold Primitives,2025,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2509.23721,https://openalex.org/W4415332667,0,planning_control,72.35,"Select actions by rolling out a model, value estimate, or policy.",Task-specific learned representation or dynamics model.,multi-object causal chains are rare enough to ignore,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","model bias, compounding rollout error, uncontrolled exogenous motion","Uses dense motion as a representation for manipulation, so novelty cannot be mere flow prediction.",Usually treats the transition model as a black box rather than auditing which motion the action actually caused.,metadata+abstract heuristic,openalex:SE(3) equivariant robot manipulation dynamics,"Dynamic manipulation is a key capability for advancing robot performance, enabling skills such as tossing. While recent learning-based approaches have pushed the field forward, most methods still rely on manually designed action parameterizations, limiting their ability to produce the highly coordinated motions required in complex tasks. Motion planning can generate feasible trajectories, but the dynamics gap-stemming from control inaccuracies, contact uncertainties, and aerodynamic effects-ofte"
23,yes,yes,yes,Convergence Conditions for Ascent Methods,1969,SIAM Review,https://doi.org/10.1137/1011036,https://openalex.org/W1988849934,1074,interaction_dynamics,70.9801,Predict physical change during object-object or robot-object interaction.,Relational/graph representation with learned message passing.,camera motion and agent motion are either known or ignorable,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","multi-body chains, deformation, friction shifts, hidden contacts","Uses dense motion as a representation for manipulation, so novelty cannot be mere flow prediction.",Often predicts interaction outcomes without isolating the agent's incremental causal contribution.,metadata+abstract heuristic,openalex:visual dynamics model robotics,"Previous article Next article Convergence Conditions for Ascent MethodsPhilip WolfePhilip Wolfehttps://doi.org/10.1137/1011036PDFBibTexSections ToolsAdd to favoritesExport CitationTrack CitationsEmail SectionsAboutAbstractLiberal conditions on the steps of a “descent” method for finding extrema of a function are given; most known results are special cases.[1] Haskell B. Curry, The method of steepest descent for non-linear minimization problems, Quart. Appl. Math., 2 (1944), 258–261 MR0010667 006"
24,yes,yes,yes,NeRF in the Palm of Your Hand: Corrective Augmentation for Robotics via Novel-View Synthesis,2023,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2301.08556,https://openalex.org/W4317837885,1,robot_manipulation,70.7431,Convert perception and action experience into manipulation behavior.,"Policy/value learning from demonstrations, rewards, or interaction.",all observed motion is equally useful for planning,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","out-of-distribution contacts, clutter, causal confusion, long-horizon credit assignment","Covers part of embodied prediction/control, so novelty must be in causal field decomposition and planning use.",Usually treats the transition model as a black box rather than auditing which motion the action actually caused.,metadata+abstract heuristic,openalex:SE(3) equivariant robot manipulation dynamics,"Expert demonstrations are a rich source of supervision for training visual robotic manipulation policies, but imitation learning methods often require either a large number of demonstrations or expensive online expert supervision to learn reactive closed-loop behaviors. In this work, we introduce SPARTN (Synthetic Perturbations for Augmenting Robot Trajectories via NeRF): a fully-offline data augmentation scheme for improving robot policies that use eye-in-hand cameras. Our approach leverages ne"
25,yes,yes,yes,Dex-Net 2.0: Deep Learning to Plan Robust Grasps with Synthetic Point Clouds and Analytic Grasp Metrics,2017,,https://doi.org/10.15607/rss.2017.xiii.058,https://openalex.org/W2600030077,1164,3d_perception,70.2105,Build geometric representations that support downstream embodied decisions.,Task-specific learned representation or dynamics model.,scene flow is an exogenous perception target rather than an action-conditioned causal variable,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","missing depth, moving sensors, domain shift, nonrigid objects","Covers part of embodied prediction/control, so novelty must be in causal field decomposition and planning use.",Leaves open action-conditioned 3D causal attribution for manipulation planning.,metadata+abstract heuristic,openalex:affordance manipulation robot,"To reduce data collection time for deep learning of robust robotic grasp plans, we explore training from a synthetic dataset of 6.7 million point clouds, grasps, and analytic grasp metrics generated from thousands of 3D models from Dex-Net 1.0 in randomized poses on a table. We use the resulting dataset, Dex-Net 2.0, to train a Grasp Quality Convolutional Neural Network (GQ-CNN) model that rapidly predicts the probability of success of grasps from depth images, where grasps are specified as the "
26,yes,yes,yes,A DVRK-based Framework for Surgical Subtask Automation,2019,Acta Polytechnica Hungarica,https://doi.org/10.12700/aph.16.8.2019.8.5,https://openalex.org/W4212965831,49,robot_manipulation,69.362,Convert perception and action experience into manipulation behavior.,"Attention-based representation over visual, object, or trajectory tokens.",the gripper-induced component can be learned from passive video statistics,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","out-of-distribution contacts, clutter, causal confusion, long-horizon credit assignment","Uses dense motion as a representation for manipulation, so novelty cannot be mere flow prediction.",Usually treats the transition model as a black box rather than auditing which motion the action actually caused.,metadata+abstract heuristic,openalex:visual servoing robot manipulation,"Robotic assistance is becoming a standard in Minimally Invasive Surgery. Despite its clinical benefits and technical potential, surgeons still have to perform manually a number of monotonous and time-consuming surgical subtasks, like knot-tying or blunt dissection. Many believe that the next bold step in the advancement of robotic surgery is the automation of such subtasks. Partial automation can reduce the cognitive load on surgeons, and support them in paying more attention to the critical ele"
27,yes,yes,yes,Geometry-aware RL for Manipulation of Varying Shapes and Deformable Objects,2025,ArXiv.org,https://doi.org/10.48550/arxiv.2502.07005,https://openalex.org/W4407423838,0,interaction_dynamics,69.35,Predict physical change during object-object or robot-object interaction.,Relational/graph representation with learned message passing.,objects move independently of the robot except at explicit contact moments,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","multi-body chains, deformation, friction shifts, hidden contacts","Covers part of embodied prediction/control, so novelty must be in causal field decomposition and planning use.",Often predicts interaction outcomes without isolating the agent's incremental causal contribution.,metadata+abstract heuristic,openalex:SE(3) equivariant robot manipulation dynamics,"Manipulating objects with varying geometries and deformable objects is a major challenge in robotics. Tasks such as insertion with different objects or cloth hanging require precise control and effective modelling of complex dynamics. In this work, we frame this problem through the lens of a heterogeneous graph that comprises smaller sub-graphs, such as actuators and objects, accompanied by different edge types describing their interactions. This graph representation serves as a unified structur"
28,yes,yes,yes,Enhancing motion planning efficiency in dynamic environments through advanced algorithms for mobile robots,2024,,https://doi.org/10.17760/d20659757,https://openalex.org/W4396884706,0,planning_control,69.2,"Select actions by rolling out a model, value estimate, or policy.",Model-predictive rollouts with a learned or analytic transition model.,background motion is nuisance noise rather than a confounder,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","model bias, compounding rollout error, uncontrolled exogenous motion","Covers part of embodied prediction/control, so novelty must be in causal field decomposition and planning use.",Usually treats the transition model as a black box rather than auditing which motion the action actually caused.,metadata+abstract heuristic,openalex:SE(3) equivariant robot manipulation dynamics,"Robots are on the verge of becoming integral components of our domestic environments as personal assistants. Although their present functions are confined to specific tasks within controlled settings, their potential utility is driving advancements in robotics engineering. Mobile robots, particularly those equipped with manipulation capabilities, play a pivotal role in supporting human endeavors in physically demanding environments such as warehouses and hospitals. Given the complexity of tasks "
29,yes,yes,yes,RoCoDA: Counterfactual Data Augmentation for Data-Efficient Robot Learning from Demonstrations,2024,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2411.16959,https://openalex.org/W4404988289,0,robot_manipulation,69.2,Convert perception and action experience into manipulation behavior.,Geometric equivariance or rigid-motion factorization.,dense correspondences are enough to infer manipulability,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","out-of-distribution contacts, clutter, causal confusion, long-horizon credit assignment","Covers part of embodied prediction/control, so novelty must be in causal field decomposition and planning use.",Usually treats the transition model as a black box rather than auditing which motion the action actually caused.,metadata+abstract heuristic,openalex:SE(3) equivariant robot manipulation dynamics,"Imitation learning in robotics faces significant challenges in generalization due to the complexity of robotic environments and the high cost of data collection. We introduce RoCoDA, a novel method that unifies the concepts of invariance, equivariance, and causality within a single framework to enhance data augmentation for imitation learning. RoCoDA leverages causal invariance by modifying task-irrelevant subsets of the environment state without affecting the policy's output. Simultaneously, we"
30,yes,yes,yes,Live dense reconstruction with a single moving camera,2010,,https://doi.org/10.1109/cvpr.2010.5539794,https://openalex.org/W2044233231,367,scene_flow,68.9081,Estimate dense 3D motion/correspondence from visual observations.,Dense motion/correspondence estimator over images or point clouds.,rigidity or smoothness priors hold during contact-rich interaction,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","contact, occlusion, independent camera/background motion, unseen robot-caused effects","Uses dense motion as a representation for manipulation, so novelty cannot be mere flow prediction.",Does not explicitly decompose observed flow into passive dynamics and robot-caused counterfactual effect fields.,metadata+abstract heuristic,openalex:3d scene flow point cloud,"We present a method which enables rapid and dense reconstruction of scenes browsed by a single live camera. We take point-based real-time structure from motion (SFM) as our starting point, generating accurate 3D camera pose estimates and a sparse point cloud. Our main novel contribution is to use an approximate but smooth base mesh generated from the SFM to predict the view at a bundle of poses around automatically selected reference frames spanning the scene, and then warp the base mesh into hi"
31,yes,yes,yes,Grasping and Coordinated Manipulation by a Multifingered Robot Hand,1989,The International Journal of Robotics Research,https://doi.org/10.1177/027836498900800402,https://openalex.org/W2101915367,345,robot_manipulation,67.8464,Convert perception and action experience into manipulation behavior.,Task-specific learned representation or dynamics model.,occlusion does not erase the causal evidence needed for planning,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","out-of-distribution contacts, clutter, causal confusion, long-horizon credit assignment","Covers part of embodied prediction/control, so novelty must be in causal field decomposition and planning use.",Usually treats the transition model as a black box rather than auditing which motion the action actually caused.,metadata+abstract heuristic,openalex:contact dynamics robotic manipulation,"A new avenue of progress in the area of robotics is the use of multifingered robot hands for fine motion manipulation. This paper treats two fundamental problems in the study of multi fingered robot hands: grasp planning and the determination of coordinated control laws with point contact models. First, we develop the dual notions of grasp stability and grasp manipulability and propose a procedure for task modeling. Using the task model, we define the structured grasp quality measures, and using"
32,yes,yes,yes,Multi-functional soft-bodied jellyfish-like swimming,2019,Nature Communications,https://doi.org/10.1038/s41467-019-10549-7,https://openalex.org/W2955902092,572,robot_manipulation,67.8009,Convert perception and action experience into manipulation behavior.,Task-specific learned representation or dynamics model.,the same flow estimator serves passive prediction and control,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","out-of-distribution contacts, clutter, causal confusion, long-horizon credit assignment","Uses dense motion as a representation for manipulation, so novelty cannot be mere flow prediction.",Usually treats the transition model as a black box rather than auditing which motion the action actually caused.,metadata+abstract heuristic,openalex:scene flow robotics,"The functionalities of the untethered miniature swimming robots significantly decrease as the robot size becomes smaller, due to limitations of feasible miniaturized on-board components. Here we propose an untethered jellyfish-inspired soft millirobot that could realize multiple functionalities in moderate Reynolds number by producing diverse controlled fluidic flows around its body using its magnetic composite elastomer lappets, which are actuated by an external oscillating magnetic field. We p"
33,yes,yes,yes,INVERSE KINEMATICS AND GEOMETRIC CONSTRAINTS FOR ARTICULATED FIGURE MANIPULATION,1993,Summit (Simon Fraser University),,https://openalex.org/W1534424366,182,robot_manipulation,67.2095,Convert perception and action experience into manipulation behavior.,Relational/graph representation with learned message passing.,object identity is stable across interventions,"robot action labels, sensor calibration, object identity, short-horizon scene geometry","out-of-distribution contacts, clutter, causal confusion, long-horizon credit assignment","Uses dense motion as a representation for manipulation, so novelty cannot be mere flow prediction.",Usually treats the transition model as a black box rather than auditing which motion the action actually caused.,metadata+abstract heuristic,openalex:scene graph robot manipulation,"Computer animation of articulated figures can be tedious, largely due to the amount of data which must be specified at each frame.Animation techniques range from simple interpolation between keyframed figure poses to higher-level algorithmic models of specific movement patterns.The former provides the animator with complete control over the movement, whereas the latter may provide only limited control via some high-level parameters incorporated into the model.Inverse kinematic techniques adopted"
